"","long","lat","tipo","tipo2","tipo3"
"1",-79.3137693267133,-0.979063397478246,"yuca","No Aplica","yuca"
"2",-77.1195927104715,-1.7159947855892,"yuca","PLATANO","yuca"
"3",-79.2502474005657,-0.367808612097821,"yuca","No Aplica","yuca"
"4",-78.1821074376535,-2.61850753540539,"yuca","No Aplica","yuca"
"5",-79.3456157127149,-0.289533170748306,"yuca","No Aplica","yuca"
"6",-79.3330631278601,-0.326894859628776,"yuca","No Aplica","yuca"
"7",-77.2661946871237,-0.473055068644152,"yuca","No Aplica","yuca"
"8",-79.2761529533242,-0.462765569171282,"yuca","No Aplica","yuca"
"9",-76.8592081915443,-0.794118948695216,"yuca","CACAO","yuca"
"10",-77.7023789766488,-1.99367025016723,"yuca","PLATANO","yuca"
"11",-78.0198438791057,-2.09961095194173,"yuca","MALANGA","yuca"
"12",-77.4734182236257,-1.73940150848785,"yuca","PLATANO","yuca"
"13",-76.4509591328503,-2.35167769682181,"yuca","PLATANO","yuca"
"14",-76.798443763281,-0.240403769810947,"yuca","No Aplica","yuca"
"15",-79.350489671992,-0.391812106231064,"yuca","No Aplica","yuca"
"16",-76.791590630219,-2.0605524706546,"yuca","PLATANO","yuca"
"17",-77.3878156920521,-1.05787066546334,"yuca","No Aplica","yuca"
"18",-77.085000235795,-2.3228232293145,"yuca","PLATANO","yuca"
"19",-76.7628258365666,-0.288311429872797,"yuca","No Aplica","yuca"
"20",-77.0936125366767,-2.32787425885063,"yuca","PLATANO","yuca"
"21",-77.0741795538438,-0.249537546235576,"yuca","No Aplica","yuca"
"22",-77.6241705198204,-1.04776739825846,"yuca","No Aplica","yuca"
"23",-76.6073189310761,-0.451964598200702,"yuca","No Aplica","yuca"
"24",-79.3438682546458,-0.144667162077078,"yuca","No Aplica","yuca"
"25",-79.4070804542511,-0.188156290693005,"yuca","No Aplica","yuca"
"26",-77.9433614944846,-1.98522550342334,"yuca","PLATANO","yuca"
"27",-77.2896215815745,-0.690185984016133,"yuca","No Aplica","yuca"
"28",-76.9980999153887,-1.82599622996056,"yuca","PLATANO","yuca"
"29",-77.3311230083878,-0.0425315568241164,"yuca","No Aplica","yuca"
"30",-77.6951810087713,-1.99727118809335,"yuca","PLATANO","yuca"
"31",-79.3524033238212,-0.340650194537668,"yuca","No Aplica","yuca"
"32",-77.7171140529498,-1.96867989600405,"yuca","PLATANO","yuca"
"33",-77.3375898457701,-1.81542158192192,"yuca","PASTO CULTIVADO","yuca"
"34",-79.1535404358728,-4.88589527839424,"yuca","CAFE","yuca"
"35",-77.710819431759,-1.94154803411209,"yuca","PLATANO","yuca"
"36",-76.7828360089656,-2.21079859452662,"yuca","PLATANO","yuca"
"37",-77.6489455835375,-1.95351329445622,"yuca","PLATANO","yuca"
"38",-79.3249245696693,-0.368851829167545,"yuca","No Aplica","yuca"
"39",-77.6984639275279,-1.95450284824373,"yuca","PLATANO","yuca"
"40",-76.9155743637088,-0.280198471083486,"yuca","No Aplica","yuca"
"41",-77.9713689999761,-2.17487700744347,"yuca","PLATANO","yuca"
"42",-76.9774075346957,-2.08667545082894,"yuca","PLATANO","yuca"
"43",-77.4834053970113,-1.75434720803934,"yuca","PLATANO","yuca"
"44",-79.3697085464706,-0.132226397729325,"yuca","No Aplica","yuca"
"45",-76.4951217702312,-2.15950014957398,"yuca","PLATANO","yuca"
"46",-77.3233548754967,-2.16053346945736,"yuca","PLATANO","yuca"
"47",-79.2045770131045,-0.613391166136684,"yuca","No Aplica","yuca"
"48",-79.3498403685769,-0.213706895878943,"yuca","No Aplica","yuca"
"49",-76.9943481762429,-2.05407419257557,"yuca","PLATANO","yuca"
"50",-79.3614012134258,-0.274661782754467,"yuca","No Aplica","yuca"
"51",-77.0110766022067,-0.669218681509948,"cafe","No Aplica","cafe"
"52",-76.7031970671297,-0.357408635453186,"cafe","No Aplica","cafe"
"53",-76.9154271545827,-0.318435413934571,"cafe","No Aplica","cafe"
"54",-76.9673995711246,0.26245846797952,"cafe","No Aplica","cafe"
"55",-76.9850499864311,-0.169134366008452,"cafe","No Aplica","cafe"
"56",-79.2094380897997,-1.11325877243926,"cafe","PLATANO","cafe"
"57",-79.1242391764505,-4.73971991068903,"cafe","BOSQUE HUMEDO","cafe"
"58",-77.0596828741435,-0.498071089879345,"cafe","No Aplica","cafe"
"59",-76.6203750197542,-0.369132426321576,"cafe","No Aplica","cafe"
"60",-76.6366904174798,-0.235239044925969,"cafe","PASTO CULTIVADO","cafe"
"61",-76.9871478912855,-0.124324762997549,"cafe","No Aplica","cafe"
"62",-76.9064089911404,-0.0122156445407789,"cafe","No Aplica","cafe"
"63",-77.2919094031503,-0.883430477865108,"cafe","No Aplica","cafe"
